fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
238,0.6931471805599453,0.6931471805599453,6.86484777797086,33.88447956,35.51629699,4.790037503398601,-0.4228999466420856,2.1622919076446516,4.687312583692167,1.433151154474292,9.90388184573618,9.90388184573618,0.45141440043224595,0.7238036257379631,1,3.313489906235813,1,838.0322559844527,1,0.7983133369878863,1,22.8646686799079,1,1.0,1
1381,0.6931471805599453,0.6931471805599453,6.159095388491933,33.89748196,35.53365058,4.208911186702726,-1.1924218391670918,2.1622919076446516,4.430684933254391,1.4633464844662087,8.885696373339394,8.885696373339394,0.5137413957500486,0.6790543121222188,1,2.7390227473856243,1,697.5283097635845,1,0.7595112425027278,1,18.978154517224713,1,0.9980085348506403,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,2.1622919076446516,3.8616768094778835,1.5461992827517541,3.873657180281966,3.873657180281966,0.5362710837943454,0.6865019011321208,1,1.6847276612815627,1,352.5414593990312,1,0.3946544116794608,1,22.327108733034876,1,0.9951635846372688,1
10,2.639057329615259,3.367295829986474,1.3161401011966838,33.87786382,35.5284927599999,6.168309954440534,2.9215868500403963,-1.9063889887732393,4.939673489606513,0.2133712655359028,0.390859659396772,0.4987159946951817,-0.3090618018312844,0.6128063558646983,1,2.553498918078464,1,310.0001125367574,1,0.6105783380935823,1,14.098058181126827,1,0.9931721194879091,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,33.9008645899999,35.5283341,4.780471619459692,-0.4228999466420856,2.1622919076446516,3.4791208927250628,1.3526164861885424,3.322941055308622,4.664337463663974,0.4523176957776903,0.6551089840596184,1,1.4672651577737952,1,294.4095811845034,1,0.3946544116794608,1,16.245352364059823,1,0.9923186344238977,1
1750,1.0986122886681096,0.6931471805599453,4.959426206689514,33.88883598,35.5086712,5.715133645007413,-1.1924218391670918,2.1622919076446516,2.2158888802796013,0.8677708195016465,7.154939594045725,4.514264274889934,0.3783449420353576,0.6486027447446924,1,1.3288014257499126,1,216.1265129060919,1,0.44524445688999265,1,14.781446226503794,1,0.9849217638691323,1
529,0.6931471805599453,0.6931471805599453,3.1679614060666514,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.780379798016999,1.780379798016999,0.5843854734643307,4.570402210259986,4.570402210259986,0.3284219590611401,0.6161299065016269,1,1.3974084442760888,1,134.73101228111258,1,0.37147128002918234,1,15.35586066374707,1,0.9846372688477952,1
1519,0.6931471805599453,1.0986122886681096,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,0.25590775068444094,0.25590775068444094,0.4316169365496553,2.015642301593891,3.1947174628936,0.04987971929918052,0.5693961014484726,1,1.790023568954879,1,169.39198156950815,1,0.2621145520859328,1,11.035356786249743,1,0.9823613086770981,1
1517,1.0986122886681096,1.0986122886681096,5.375278407684165,33.8892338,35.5291301899999,4.243104137227407,-1.1924218391670918,2.1622919076446516,3.297060654218067,1.2668268875428923,4.892789260714373,4.892789260714373,0.50960142332438,0.6431669953207118,1,1.284506150196627,0,277.38348916462377,1,0.3946544116794608,1,16.8895230645855,1,0.9809388335704126,1
1159,2.4849066497880004,2.3978952727983707,5.971289900621244,33.88286884,35.52352312,5.272083664404303,0.8457654036941855,1.907274304531981,1.907274304531981,1.1326242678844027,2.4902213071435275,2.4030238323563116,0.3617685958607573,0.6139412202054626,1,1.695737825640864,1,88.53725441482526,0,0.27716461021190275,1,12.233601231177184,1,0.9681365576102419,1
